	Lambda	X
0	0.0	0.0
1	0.001	0.0
2	0.002	0.0
3	0.003	0.0
4	0.004	0.0
5	0.005	0.0
6	0.006	0.0
7	0.007	0.0
8	0.008	0.0
9	0.009000000000000001	0.0
10	0.01	0.0
11	0.011	0.0
12	0.012	0.0
13	0.013000000000000001	0.0
14	0.014	0.0
15	0.015	0.0
16	0.016	0.0
17	0.017	0.0
18	0.018000000000000002	0.0
19	0.019	0.0
20	0.02	0.0
21	0.021	0.0
22	0.022	0.0
23	0.023	0.0
24	0.024	0.0
25	0.025	0.0
26	0.026000000000000002	0.0
27	0.027	0.0
28	0.028	0.0
29	0.029	0.0
30	0.03	0.0
31	0.031	0.0
32	0.032	0.0
33	0.033	0.0
34	0.034	0.0
35	0.035	0.0
36	0.036000000000000004	0.0
37	0.037	0.0
38	0.038	0.0
39	0.039	0.0
40	0.04	0.0
41	0.041	0.0
42	0.042	0.0
43	0.043000000000000003	0.0
44	0.044	0.0
45	0.045	0.0
46	0.046	0.0
47	0.047	0.0
48	0.048	0.0
49	0.049	0.0
50	0.05	0.0
51	0.051000000000000004	0.0
52	0.052000000000000005	0.0
53	0.053	0.0
54	0.054	0.0
55	0.055	0.0
56	0.056	0.0
57	0.057	0.0
58	0.058	0.0
59	0.059000000000000004	0.0
60	0.06	0.0
61	0.061	0.0
62	0.062	0.0
63	0.063	0.0
64	0.064	0.0
65	0.065	0.0
66	0.066	0.0
67	0.067	0.0
68	0.068	0.0
69	0.069	0.0
70	0.07	0.0
71	0.07100000000000001	0.0
72	0.07200000000000001	0.0
73	0.073	0.0
74	0.074	0.0
75	0.075	0.0
76	0.076	0.0
77	0.077	0.0
78	0.078	0.0
79	0.079	0.0
80	0.08	0.0
81	0.081	0.0
82	0.082	0.0
83	0.083	0.0
84	0.084	0.0
85	0.085	0.0
86	0.08600000000000001	0.0
87	0.08700000000000001	0.0
88	0.088	0.0
89	0.089	0.0
90	0.09	0.0
91	0.091	0.0
92	0.092	0.0
93	0.093	0.0
94	0.094	0.0
95	0.095	0.0
96	0.096	0.0
97	0.097	0.0
98	0.098	0.0
99	0.099	0.0
100	0.1	0.0
101	0.101	0.0
102	0.10200000000000001	0.0
103	0.10300000000000001	0.0
104	0.10400000000000001	0.0
105	0.105	0.0
106	0.106	0.0
107	0.107	0.0
108	0.108	0.0
109	0.109	0.0
110	0.11	0.0
111	0.111	0.0
112	0.112	0.0
113	0.113	0.0
114	0.114	0.0
115	0.115	0.0
116	0.116	0.0
117	0.117	0.0
118	0.11800000000000001	0.0
119	0.11900000000000001	0.0
120	0.12	0.0
121	0.121	0.0
122	0.122	0.0
123	0.123	0.0
124	0.124	0.0
125	0.125	0.0
126	0.126	0.0
127	0.127	0.0
128	0.128	0.0
129	0.129	0.0
130	0.13	0.0
131	0.131	0.0
132	0.132	0.0
133	0.133	0.0
134	0.134	0.0
135	0.135	0.0
136	0.136	0.0
137	0.137	0.0
138	0.138	0.0
139	0.139	0.0
140	0.14	0.0
141	0.14100000000000001	0.0
142	0.14200000000000002	0.0
143	0.14300000000000002	0.0
144	0.14400000000000002	0.0
145	0.145	0.0
146	0.146	0.0
147	0.147	0.0
148	0.148	0.0
149	0.149	0.0
150	0.15	0.0
151	0.151	0.0
152	0.152	0.0
153	0.153	0.0
154	0.154	0.0
155	0.155	0.0
156	0.156	0.0
157	0.157	0.0
158	0.158	0.0
159	0.159	0.0
160	0.16	0.0
161	0.161	0.0
162	0.162	0.0
163	0.163	0.0
164	0.164	0.0
165	0.165	0.0
166	0.166	0.0
167	0.167	5e-324
168	0.168	5e-324
169	0.169	5e-324
170	0.17	5e-324
171	0.171	5e-324
172	0.17200000000000001	5e-324
173	0.17300000000000001	5e-324
174	0.17400000000000002	5e-324
175	0.17500000000000002	5e-324
176	0.176	5e-324
177	0.177	5e-324
178	0.178	5e-324
179	0.179	5e-324
180	0.18	5e-324
181	0.181	5e-324
182	0.182	5e-324
183	0.183	5e-324
184	0.184	5e-324
185	0.185	5e-324
186	0.186	5e-324
187	0.187	5e-324
188	0.188	5e-324
189	0.189	5e-324
190	0.19	5e-324
191	0.191	5e-324
192	0.192	5e-324
193	0.193	5e-324
194	0.194	5e-324
195	0.195	5e-324
196	0.196	5e-324
197	0.197	5e-324
198	0.198	5e-324
199	0.199	5e-324
200	0.2	5e-324
201	0.201	5e-324
202	0.202	5e-324
203	0.203	5e-324
204	0.20400000000000001	5e-324
205	0.20500000000000002	5e-324
206	0.20600000000000002	5e-324
207	0.20700000000000002	5e-324
208	0.20800000000000002	5e-324
209	0.209	5e-324
210	0.21	5e-324
211	0.211	5e-324
212	0.212	5e-324
213	0.213	5e-324
214	0.214	5e-324
215	0.215	5e-324
216	0.216	5e-324
217	0.217	5e-324
218	0.218	5e-324
219	0.219	5e-324
220	0.22	5e-324
221	0.221	5e-324
222	0.222	5e-324
223	0.223	5e-324
224	0.224	5e-324
225	0.225	5e-324
226	0.226	5e-324
227	0.227	5e-324
228	0.228	5e-324
229	0.229	5e-324
230	0.23	5e-324
231	0.231	5e-324
232	0.232	5e-324
233	0.233	5e-324
234	0.234	5e-324
235	0.23500000000000001	5e-324
236	0.23600000000000002	5e-324
237	0.23700000000000002	5e-324
238	0.23800000000000002	5e-324
239	0.23900000000000002	5e-324
240	0.24	5e-324
241	0.241	5e-324
242	0.242	5e-324
243	0.243	5e-324
244	0.244	5e-324
245	0.245	5e-324
246	0.246	5e-324
247	0.247	5e-324
248	0.248	5e-324
249	0.249	5e-324
250	0.25	1e-323
251	0.251	1e-323
252	0.252	1e-323
253	0.253	1e-323
254	0.254	1e-323
255	0.255	1e-323
256	0.256	1e-323
257	0.257	1e-323
258	0.258	1e-323
259	0.259	1e-323
260	0.26	1e-323
261	0.261	1e-323
262	0.262	1e-323
263	0.263	1e-323
264	0.264	1e-323
265	0.265	1e-323
266	0.266	1e-323
267	0.267	1e-323
268	0.268	1e-323
269	0.269	1e-323
270	0.27	2e-323
271	0.271	2e-323
272	0.272	2e-323
273	0.273	2e-323
274	0.274	2e-323
275	0.275	4.9609e-319
276	0.276	3.765669481391e-311
277	0.277	2.6761305821131e-303
278	0.278	1.7813797340622713e-295
279	0.279	1.1111870872119494e-287
280	0.28	6.498214671782625e-280
281	0.281	3.564258212149296e-272
282	0.28200000000000003	1.8344329742163597e-264
283	0.28300000000000003	8.862958963572597e-257
284	0.28400000000000003	4.021459202051652e-249
285	0.28500000000000003	1.7143426771770848e-241
286	0.28600000000000003	6.869082678868445e-234
287	0.28700000000000003	2.587987009394491e-226
288	0.28800000000000003	9.1719079253663e-219
289	0.289	3.058864949659203e-211
290	0.29	9.60349542373525e-204
291	0.291	2.8394131787904725e-196
292	0.292	7.908900115744468e-189
293	0.293	2.0760879239313803e-181
294	0.294	5.137679759369487e-174
295	0.295	1.1990148938386627e-166
296	0.296	2.639718550520268e-159
297	0.297	5.484024391573807e-152
298	0.298	1.07541527282133e-144
299	0.299	1.9911619385392036e-137
300	0.3	3.4817680668230456e-130
301	0.301	5.7511463834583296e-123
302	0.302	8.975439782471396e-116
303	0.303	1.3236502352097813e-108
304	0.304	1.8448308575753194e-101
305	0.305	2.4301336140703784e-94
306	0.306	3.025422010743978e-87
307	0.307	3.559367164053693e-80
308	0.308	3.956223565052893e-73
309	0.309	4.1525816407477113e-66
310	0.31	4.11314467609148e-59
311	0.311	3.8402337699033174e-52
312	0.312	3.37359616703979e-45
313	0.313	2.7804849434527463e-38
314	0.314	2.1393858249488406e-31
315	0.315	1.5226535320092303e-24
316	0.316	9.828500664618648e-18
317	0.317	5.444003808717596e-11
318	0.318	0.00018561554475377283
319	0.319	0.036277036047615646
320	0.32	0.05670917962410589
321	0.321	0.07146705888334802
322	0.322	0.08361166849570215
323	0.323	0.09415997914714304
324	0.324	0.10360101551879883
325	0.325	0.11221486075048981
326	0.326	0.12017975037729436
327	0.327	0.12761747210958707
328	0.328	0.13461564270523768
329	0.329	0.1412398102281945
330	0.33	0.14754054429233465
331	0.331	0.1535578399054202
332	0.332	0.1593239834553766
333	0.333	0.16486549050147717
334	0.334	0.17020445841500303
335	0.335	0.17535953642231505
336	0.336	0.18034663759875297
337	0.337	0.18517947209621424
338	0.338	0.18986995360704648
339	0.339	0.19442851407759473
340	0.34	0.19886435079587964
341	0.341	0.20318562281948777
342	0.342	0.2073996088961735
